DATAFLOW,FREQ,ETA,ITTER107,SESSO,STACIVX,TIPO_INDDEM,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:22_289(1.5),A,TOTAL,001021,9,99,JAN,2019,1566,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001021,9,99,JAN,2020,1567,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001021,9,99,JAN,2021,1585,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001022,9,99,JAN,2019,3140,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001022,9,99,JAN,2020,3148,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001022,9,99,JAN,2021,3078,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001023,9,99,JAN,2019,588,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001023,9,99,JAN,2020,578,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001023,9,99,JAN,2021,559,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001024,9,99,JAN,2019,17915,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001024,9,99,JAN,2020,17785,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001024,9,99,JAN,2021,17532,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001025,9,99,JAN,2019,3455,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001025,9,99,JAN,2020,3470,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001025,9,99,JAN,2021,3392,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001026,9,99,JAN,2019,542,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001026,9,99,JAN,2020,547,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001026,9,99,JAN,2021,537,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001027,9,99,JAN,2019,2163,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001027,9,99,JAN,2020,2131,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001027,9,99,JAN,2021,2097,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001028,9,99,JAN,2019,11937,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001028,9,99,JAN,2020,11907,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001028,9,99,JAN,2021,11773,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001029,9,99,JAN,2019,583,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001029,9,99,JAN,2020,588,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001029,9,99,JAN,2021,592,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001030,9,99,JAN,2019,3631,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001030,9,99,JAN,2020,3596,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001030,9,99,JAN,2021,3590,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001031,9,99,JAN,2019,782,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001031,9,99,JAN,2020,790,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001031,9,99,JAN,2021,772,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001032,9,99,JAN,2019,2197,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001032,9,99,JAN,2020,2197,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001032,9,99,JAN,2021,2187,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001033,9,99,JAN,2019,3106,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001033,9,99,JAN,2020,3095,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001033,9,99,JAN,2021,3074,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001034,9,99,JAN,2019,8581,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001034,9,99,JAN,2020,8638,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001034,9,99,JAN,2021,8798,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001035,9,99,JAN,2019,4629,,,,,,,,,
